content,注释,解说,喻,audio file uuid,page,tag
衣裳笑破无笑补。,穿破衣服遭人嘲笑是因为你懒而且选遇，而不是因为你 穷。衣服破了，补整齐再穿，不会遭人嘲笑。,穿破衣服遭人嘲笑是因为你懒而且选遇，而不是因为你 穷。衣服破了，补整齐再穿，不会遭人嘲笑。,,baed8a1e-bc4a-4aa6-a34a-d0a6b3165f4d,,钱财生计
省食钱债轻，省颂衣裳新。,①省：节省。②食：饮食。③钱债：债务。④颂：穿著。,,,8850b26c-a58a-49eb-ab4b-858512aa31ba,,钱财生计
卖油诸娘水梳头。,卖油诸娘：卖梳发油的女子。,记得60年代的小学课文中有一首民谣是：“卖盐的，喝 淡汤；种田的，吃米槺；编凉席的睡光床，当奶妈的卖儿郎 ……”反映了旧社会的不平等，印象深刻，至今还能记得。 这条谚语或许也是反映同样的社会现象。但也许还可以解 读为对商品经济社会特点的反映：经营行为和消费行为是 不能混为一谈的，不能因为手边都是油就往自己头上抹。,,77b40614-7d2e-4dc7-ab60-f5d71d137085,,钱财生计
水倒过碗都会消蚀。,,物品在流通使用过程中都会有一定损耗。,,463d7f68-8f22-41ce-b942-a9a1199a6411,,钱财生计
三人五眼，长短无后话。,,"民间故事说，有人为独眼男子和跛足女子牵媒议亲，相 亲时说这句话以免日后反悔。喻指交易双方及证人都在场， 成交之后不能反悔。
",,7768e528-b809-4190-b43d-20575e54aa88,,钱财生计
下邪𣍐富，十二月颂纃裤。,"①下邪：耍赖占别人的便宜。②脍富：不能致富。③颂： 穿。④跻裤：薄麻布的裤子。冬天着夏装，形容穷。
",,,141351ff-83da-42c3-bd7c-3dcea5f82652,,钱财生计
使千使万，尿壶无掼。,①使：花（钱〉。②掼：提手。,此谅嘲讯茱痊人大把大把地花钱，而茱些生活細节上却 节俭得不近情理。,,d0db04c7-094d-4083-9597-4ed07255f530,,钱财生计
有钱日日节，无钱节节空。,,"无论过什么节，核心节目都是吃喝一顿。有钱人天天都 可以尽情吃喝；穷人没有钱打酒割肉，过节也是白过。
",,66329f45-6fca-4547-8145-e68be034a8be,,钱财生计
生𠲥无积掌，死咯害保长。,①生𠲥：活着。②积掌：积攒。“掌”可能就是“攒”字 的讹读。③咯：动态助词；了。,身后没留一文钱，只好由保长去料理收埋。,,b1cc5c2f-5704-46ff-b5d8-6eba5dee72f7,,钱财生计
家私全，功夫半。,"①家私：工具。②功夫：指手艺技能。
","很多手艺活儿，只要工具耙套齐全，做起来并不难，在当代高科技的条件下更是如此。
",,3eb1a57e-1c32-495c-bc96-f25667d579d3,,劳动生产
钝刀利手。,利：锋利。,真有好功夫的人使用什么样的工具都能出好活儿。,,26a262e4-c1f5-43b1-a8e1-0a3e8e52c957,,劳动生产
碎食𣍐饱，碎做无工。,①碎食：零食。②狯饱：吃不饱。③碎做：零敲碎打地 干活。④工：指劳动功效。,,,89c05510-9e1f-4f35-81c1-23e38fe9de85,,劳动生产
白搦白搦，伓是暴便是折。,"①白搦：没有拜师学艺的手工操作。②伓是：不是。 ③暴：折断。
","外行干的活儿总是毛病多。
",,e59b390b-6b2f-4de0-81af-fa8f0719030d,,劳动生产
蜀年固望蜀年好，汗衫补成破夹袄。,"①蜀年：一年。②固：还。③汗衫：衬衫。
","“樓桃好吃树难栽，不下苦工花不开”。光有美好的愿望是不够的。
",,108c6be2-90ae-44cf-b801-3e82f3f0ebbc,,劳动生产
做田无命，节气把定。,"①做田：种田，务农。②无命：不凭命运。
",务农不凭命运，关键是掌握好节气和农时。,,cf80af80-70d6-4525-8392-a2d75f38b06c,,劳动生产
做田无功夫，俪八骹手粗。,"①做田：务农。②功夫：技能。③偭八：只要……就行。 値：〈借用字〉只，仅。八：懂，知道。④骸：脚。
",种地当然不是不需要知识技能的，但最重要的是不能怕 苦怕累。,,f8cf7fd6-baa1-41ce-939b-68e7845d342f,,劳动生产
蜀日肩，两日骹。,①蜀：一。②骹：脚，腿。,"学挑担子首先是过肩膀关，但关键却是腿脚上的功夫, 这需要更长的时间才能练出来。",,a4d6a947-dbfe-42a1-99e3-d5622d9ecb4d,,劳动生产
肉食肉做，菜食菜做。,,陳】给什么样的报酬出什么样的活儿。,,6468ff9b-62df-44fc-8de0-8f1926255ce6,,劳动生产
无工钱也着腹佬圆。,】①着：要，必须。②腹佬：肚子。,请人帮工，不给工钱至少也得让人吃饱。,,eae084bc-5687-4698-9bf3-b7abf991bcbe,,劳动生产
吃亏做，快活食。,①吃亏：辛苦。②做：干活，劳动。③食：吃。,舒舒服服地吃饭是对辛苦劳动的补偿。,,4853e8dc-6ee5-4538-bd3e-829f62ef2cd7,,劳动生产
有伙头坐，无伙头饿。,"】①有、无：指饭煮得多了还是少了。②伙头：伙夫。 ③坐：承受，此处指负责吃下剩饭。
",做任何一项工作都要切实地承担起责任。,,32f1cd3b-00b2-4c1c-aa2f-3d91fa14072d,,劳动生产
十二月无骹灯马都会䟛。,①胶：脚。②灯马：油灯。③肺：跑。,年关将近的时候，人人都忙。,,14fdfefb-b0a3-4a9a-8201-fb7e5d8b1f38,,劳动生产
会载犯天条，𣍐载犯众怒。,"①会载^𣍐载^ :宁可^不可^。②天条：天 帝的律条。
",,,58f66ba8-5139-4189-99d4-bcbfd90cde43,73,为人处世
会载绝嗣，伓嗵玩遇。,①会载：宁可。②伓嗵：不要。③玩遇〈音〉：荒谬，此 处指丢人现眼。,"这是夸张的修辞手法，不可信以为真。福州人爱面子是 事实，“面子”重如泰山，但传香火的子嗣绝对比泰山还重。
",,f59d54b0-9a62-4a49-b7f3-f5a5aee86da0,,为人处世
请客何在蜀双箸。,①何在：不在乎。②蜀双箸：〔添）一双筷子，指多请 一个客人。,"中国的酒席是围圓桌而食的“聚餐”，而且酒菜总是多 得吃不完，临时多请个客人确实只需多摆下一双筷子就行。 何况说，多一个朋友多一条路。
",,a38f99ea-d4cd-45c6-9ca9-33bf7325c422,,为人处世
亲帮亲，邻帮邻，细桌帮度绳。,①细桌：制作家具的木匠。②度绳：原指墨斗线，引申 指建筑房屋的木匠。,,,ec2081e1-cbb6-456b-85a7-00bb278fb63d,,为人处世
衣裳爱新侬爱旧。,,"衣服是新的好，相交还是老朋友可靠。
",,86664a25-e866-414b-90c4-f518f163c924,,为人处世
金厝边，银乡里。,"①厝边：邻居。②乡里：街坊。
",远亲不如近邻。,,27e99b6e-0919-4d1b-9834-85c2fb246c05,,为人处世
柴博炭，齐好看。,"①博：交换。②齐：一齐，都。
",礼尚往来，“博”字用得精辟。你送我一 |炭，我送你 一捆柴，大家面子上都有光彩。,,c3387a76-cd09-4459-92df-a48b21f9308f,,为人处世
人情剔得透，有鼎复无灶。,"①人情：亲友间贺喜的红包。②剔得透：打理的周全。 ③鼎：锅。④复：又，却又；俗写“仅”字。
",红白喜事，大操大办，眼蜻盯着亲友的腰包，发请帖像 讨债。这种恶俗由来已久，而今愈烈。,,511b6887-7bd4-4258-8345-0ae5a2100b8d,,为人处世
有裙无裤，世事着顾。,"】①有裙无裤:顾了裙子顾不了裤子，形容经济窘迫。②世 事：人生大事，指娶妻生子传宗接代等。③着：要，必须。
",,,615d14d4-be83-4fca-9224-37680f3f5f4c,,为人处世
做侬两奇做。,①做侬：做人，为人。②两奇：两个，此处指相互。奇: 量词；个。,"人际关系是相互的，要靠双方一起来维护、改善。
",,a8c06e6f-bfff-46d3-acef-e35a0a5c127e,,为人处世
无贪鸡肝胗，会去洗鸡橱？,"①无贪鸡肝胗：不贪图（人家的）鸡肝和鸡胗。②会: 可能。③鸡橱：养鸡的笼子。
","“天下没有免费的午餐”是美国的谚语，我们也不该指 望别人的“义务劳动”。只要鸡笼洗得干净，宰鸡时分卒一 些杂碎也是应当的。
",,9f84e1e5-8a14-4d57-8636-aea0b55653d2,,为人处世
君子无赢头盘棋。,①无贏：不贏。②头盘：第一盘。,"初次交手，给对方留一个面子。
",,5106cc56-5af9-4b33-97ec-d7776ce4a9bf,,为人处世
呼鸡也着蜀把米。,"①着：要，必须。②蜀：一。
",总得给出点儿好处才能差遣他人。,,0c4474cf-d5e0-4ee4-8458-fe15918692c7,,为人处世
出门看天色，裡门看面色。,"①裡：动词；进。②面色：〔主人的〉脸色。
",有求于人，能不看看人家的脸色吗？,,7e6c2158-36d2-44f5-8f29-2d998e56174f,,为人处世
侬価好做事，侬少好食乇。,①侬：人。②俩：〈方言俗字〉多。③食乇：吃东西；或 引申指分配利益。,"干活时希望人多一些，到分釔时却希望人少一些，人心

如此〇
",,dfa5e70c-54bd-49ee-9193-12ad039e88ee,,为人处世
平平墿，跋死侬。,①平平墚：平平的路面；或引申指看似平坦的生活道路。②跋：跌跤。③侬：人。,,,e7190fff-896a-4b89-9110-772566f979e8,,为人处世
拳头柿，霆死侬。,"①拳头柿：乱挥舞的拳头。柿：《广韵》斫木札也，方 废切。②霆：砸。③侬：人。
",见别人打架要赶紧躲开，免得被误伤。这反映了小市民 胆小怕事，明哲保身的处世态度。,,77801432-a728-41ee-a5ad-bcebe359ce2c,,为人处世
浸死好水相，拍死好拳头。,"①水相：水性。②拍死：打死。③拳头：武术。
",恃艺逞能，结果往往不幸。,,5b692eaa-3fd5-469b-bbdb-2385388f4b47,,为人处世
长乐拍长乐，转厝齐无学。尚干拍尚干，转厝齐无喊。,①长乐：长乐市，在福州东南面，此处指长乐人。②拍： 打。③转厝：回家。④齐：都。⑤学：诉说。⑥尚干：尚干 镇，在福州南郊，此处指尚干人。⑦喊：〈借用字〉告诉。,"大水冲了龙王庙，自家人打了自家人，只好算了。
",,88c0949c-d295-414d-b161-9b197ea4dd6c,,为人处世
有理无理，干证先死。,①干证：证人。②死：此处指倒霉。,“竟良心说话”有时很不容易。,,a7df1172-f3b9-4602-b4ab-e14b5035306c,,为人处世
蜀句话𣍐益两介侬。,①蜀：一。②𣍐：不能。③益：使……受益。④两介侬: 两个人，指矛盾双方。,,,23669a96-0d81-44f3-8bdd-948ea5fb1213,,为人处世
骹踩马屎借官势。,①骹：脚。②踩：〈同义字〉。③借：倚仗。,在官老爷的鞍前马后跑的家伙，往往仗势欺人。,,52f876eb-7f46-43b8-b527-071d57f28bdb,,世道清浊
未见严嵩，先见严年。,,严年是民间故事中大奸臣严嵩的亲信家人〔秘书？；！，要 见严嵩都得先向严年行贿。,,f872394b-d38a-4c86-9c8d-2634f34c832e,,世道清浊
有势使势，无势讨势。,"①势：权势。②使势：利用权势。③讨势：听话，顺从。
",北方俗语说：“站在矮檐下，怎能不低头。”,,08c2ea5f-6a78-4ae8-af8d-9001e5662720,,世道清浊
捧侬饭碗，服侬教管。,"①侬：人，别人。②教管：训诫管束。
",,,bfe3cd81-1f1c-453a-b13a-aa6e36c9d25c,,世道清浊
老爹讲郑盖讲起，百姓讲郑拍半死。,①老爹：老爷，特指官吏。②郑〈音〉：错。③盖讲起: 再‘新讲。盖：再。④拍：打。,老爷说话不算数，顶多是换个老爷再另外讲一套，这种 事情百姓见得多了；而小百姓一不小心，就可能祸从口出。,,c1116ba0-bc8f-4fa0-8f69-d060d9427633,,世道清浊
横心横肠，饭炊蜀甑；良心天理，鼎𠲥无米。,①横心横肠：狠心。②饭炊蜀甑：蒸一锅饭，形容富裕。 瓶：蒸笼，本字“床”。③鼎：铁锅。④𠲥：处所助词，本 字“里”。,,,2f550f10-b89a-4a2b-a500-0ac46e802485,,世道清浊
呆牛呆马搦去刣，呆侬无法惹伊才。,①呆：坏，方言音从《广韵》五来切。②搦：〈借用 字〉捉。③钊：〈方言俗字〉宰杀，本字”治“。④呆侬：坏 人。⑤无法惹伊才：对他无可奈何。,“人恶人怕天不怕”、“多行不义必自兔”云云，其实也 是无可奈何的另一种说法。,,a6cd8091-6f18-41c0-8001-3ebe0129609f,,世道清浊
有钱就有理，无钱拍半死。,拍：打、揍。,“街门八字开，无钱英进来”。,,dd4007aa-8132-42a9-b916-6e74defc74c6,,世道清浊
若卜赢，钱先行。,若卜贏：若要打贏（官司〉。卜：要。,,,282a1553-5ce4-4d7e-82d0-dc8dbaf9aa55,,世道清浊
有理无理，𣍐瞒乡里。,①狯瞒：瞒不过。②乡里：街坊。,,,a6c3e759-a845-4d4c-804f-6090573b4800,,世道清浊
诈迷梦食老羊蹄。,"①诈迷梦：装聋作哑。②食：吃。
",《闽都别记》第四十七回载民间故事说某老太婆图吃老 羊締而对隔壁的奸情装聋作哑。,,3eba02cc-b631-45e1-9a88-0913baee022d,,世道清浊
下界爷爬𣍐上横头桌。,①下界爷：指孤魂野鬼，在冥界中地位最低。注意“下 界”二字合音。②爬𣍐上：登不上。③横头桌：横置厅上的 香案，约两米长、半米宽、齐胸高，用以放置神像、佛龛等。 ,阴间阳间，社会等级都是存在的。,,b5677c88-2dd3-40fa-98e0-3c68e76c65b8,,世道清浊
江𠲥伓去讨，碗𠲥对头夺。,"①𠲥：处所助词；本字“里”。②伓去：不去。③讨：捕 (鱼〉。④对头夺：互相争夺。对头：副词；相互。
",,,d1fcb2c9-d6cb-40b2-9fbd-aada909c74bd,,世道清浊
火㖹暗，都是贼。,"火嗌暗：吹熄灯火。㖹：〈方言俗字〉吹。
",,,37637240-0e39-4009-bb82-1d1e5272f8c4,,世道清浊
症做兴化兄。,"①症做：设下圈套，诱人上当。②兴化兄：兴化府在福 州府南面，今属莆田市。福州人对莆仙口音者谑称“兴化 兄”，也泛指老实的乡下人。
",福州是省城，福州人对周围县市的同胞常有一种自以为 是的可笑心态。文化程度越低的人表现越明显。,,2915f4a8-5def-4636-8458-3adf61594cc5,,世道清浊
好柴无流闽安镇。,"
",闽江流经福州再向东，过闽安镇后出海。每年汛期，沿 江的居民或船户用搭钧绳索捞取从上游山区漂下的树木断 枝，已成习俗。尚有利用价值的木材往往在漂流到闽安镇之 前就被打捞尽了。喻指好处总是让条件优越的人先捞去。,,5cc9f7bf-a29f-4a17-98af-85f12a449675,,世道清浊
猪母肉卖乡里。,"①猪母：母猪。②乡里：街坊。
",母猪肉不能食用，但市场上总有没天良的摊版用母猪肉 蒙騙顾客，尤为可恶的是利用熟客的信任以售其奸者。,,c321b52f-ce15-4eab-87fe-a2df1035fd18,,世道清浊
偷搦其鸡母无论重。,①搦：〈借用字〉捉。②其：结构助词；的。③鸡母：母 鸡。④无论重：不论斤两。,"据报上新闻，近来有皮包公司用少量预付款騙得货物后，在市场上低价迅速脱手，然后逃之天夭。偷鸡贼相形见

缺。",,1d1ae06f-ffbc-41d1-87bd-8f1aab028242,,世道清浊
贼偷贼，𣍐明白。,脍明白：说不清。,,,3112d7a2-1a2f-49b6-84b2-68757890db99,,世道清浊
大王补库，弟子出钱。,大王补库：旧俗各个街区都供奉保佑一方的神祇，称 “大王”或“将军”，每年庙祝借口“大王”睪“补库”〔补 充钱库〉向信徒募集钱财。,各种“事业”的经济负担最终都是落在老'百姓身上，主 事者乘机渔利，新名甸叫“乱摊派”。,,8ac68ff3-2b5c-44a5-8982-18bc1962c5f1,,世道清浊
坐轿是侬，扛轿也是侬。,"①坐轿：坐轿子的。②侬：人。③扛轿：抬轿子的，轿

夫。",有人坐轿子，有人抬桥子，阶鈒社会的本貭就是不平等。,,cc0e3673-5be5-4554-9a36-2d67c0a417e9,,世道清浊
心酸莫着墿头啼。,】①着：在。@埭头：路口。③啼：哭。,存在主义哲学家萨特的名言是“他人即地狱”，何况说 陌生的路人。,,3c2d857b-9719-41e3-9278-5d41b2746096,,世道清浊
臭头鸡囝众侬刨。,①鸡囝：小鸡。②侬：人，此处指鸡。③刨：啄。,众人都欺负老实软弱的倒霉蛋。,,31942510-d48f-4bf2-a042-94a332cba974,,世道清浊
俪看见贼食，无看见贼拍。,①偭：〈借用字〉范围副词；只。②食：吃。③拍：打， 此处指挨揍。,"众人只眼红你的得意处，付出什么代价只有自已知道。 北方俗语说“只看见和尚吃馒头，没看见和尚烧戒”，也是 这个意思。
",,48f9351d-a715-4934-9e2d-0656b6da81a3,,世道清浊
拆观音堂，起五帝庙。,①起：修建。②五帝：福州民间信仰的瘟神，有张、钟、 刘、史、赵五位，合称五帝，神像形貌丑恶。,"这条谚语来自《闽都别记》中记栽的一则民间传说：有 一个叫吴瑞的人到闽江边的五帝庙抽签有灵验，拟在天宁 山观音堂左側建新庙答谢。新庙上梁后，夜里人工散尽，次 曰来看，中梁架到了观音堂顶上，其余木料被拆卸置于江边。于是认为这是五帝且灵，表示心愿。为了取悦五帝，拆 去观音堂，改建成五帝庙。

历史学家认为这个故事反映了外来的宗教终究难敌民 间信仰。从民俗心理上说，取悦五帝而冷落了大慈大悲的观 世音说明迷信主要产生于恐惧，人们敬恶煞甚于敬善神。",,6fcf8a63-aa0a-413b-af16-730ff41222d6,,世道清浊
五帝惊呆侬。,①五帝：见上条注。②惊：害怕。③呆侬：坏人。 ,除】五帝专司捉拿作祟的疫鬼和作恶的坏人，俚世上仍有连 五帝见了都怕的坏人。,,dd96c8f4-021f-4c8f-915f-1e18891921c6,,世道清浊
蜀色米食百样侬。,"①蜀色：一样的。②食：吃。③侬：人。
","北方俗语说：“林子大了，什么鸟都有。”
",,e0eba6a8-ca00-4cc5-b774-e2ebc2c3ffc8,,众生百相
真教师伓讲拳头。,"①教师：拳师。②伓讲：不谈论。③拳头：武术。
",真人不露相。,,1f6fec18-4700-42ba-b335-77ef698863eb,,众生百相
光棍蜀重膜，戳破渧渧落。,①光棍：骗子。②蜀重：一层。③渖谛落：不住地淌水， 形容狼狈相。,,,c5c78ea2-e89a-47be-a071-2d83441bbc00,,众生百相
老实共𣤞间壁厝。,①共：与。②歇：傻。③间壁厝：隔壁邻居。,人应当老实，而过于老实则近于愚蠢，因为我们不是生 活在“君子国”。,,46f818b7-b595-4594-8717-9d4e61a34fa5,,众生百相
老实偷食鸡翼。,"①偷食：偷吃。②鸡翼：鸡翅膀。
",“害人之心不可有，防人之心不可无”。尤其要提防身边 貌似忠厚的小人。,,d45fb450-2ce1-485b-ab7c-a520ddd52da5,,众生百相
婊子年年讲十八，熏鬼日日讲革。,①熏鬼：烟鬼。熏：香烟。②革：戒（烟〉。,美国作家马克‘吐温说：“戒烟是最容易不过的事情，我 就戒过一百次以上。”,,069f76d8-61ae-47e1-b5d6-d40bc2e6bf9a,,众生百相
老罔老，会（扌马）蜀把豆。,"①罔：尽管。②会：能够。③冯：抓取。④蜀把：一把。
",切不可小覷了老年人，有时会让你大吃一惊。,,af3972af-da82-473d-8ea6-2b0c6e510914,,众生百相
��瓜无瓤，𠈙囝无腹肠。,"①伐瓜：未熟透的瓜，此处“瓜”特指丝瓜。②親：指 晾干的丝瓜瓤，常用作洗涤用具。③伐囝：缺乏知识和经验 的年轻人。④无腹肠：没有肠子，喻指缺乏心计。
",,,ac562cee-7753-4844-a388-3d79ac4eb3c6,,众生百相
呆侬假胆小。,呆侬：坏人。,人们一般认为胆小者怕事，胆大者妄为。所以飯装胆小 是一种很好的伪装。,,45772f38-4b60-40f4-b4fc-9de1e0e8f30a,,众生百相
钱胆衣裳威。,,钱能壮胆，衣显威风。商品社会里有钱就是大爷，哪怕 是假装有钱说话嗓门也大些。,,aee959e6-c2c3-4000-ad38-0960fc6de057,,众生百相
��读书，会掰册。,"①𣍐：不会。②掰册：撕书。册：书。
",有些人不爱读书却愛买书，书落到他们手中，与被级了 何异。,,8cf7bbc8-2ac6-42f6-88e1-d5fcf802ec0e,,众生百相
老爹老爹，破布之遮遮。,①老爹：老爷，特指官吏。②之遮遮：动词“遮”的反 复貌衍音变型，意思相当于“左遮右遮”、“遮来遮去”。 ,"尴尬的老爷终究难免馗尬，用破布遮遮掩掩，尾巴还是

露在外面。",,7f83bf08-4946-47c2-a268-4c70615531c1,,众生百相
神仙难趁兴化钱。,"①趁：赚。②兴化钱：兴化人的钱。
","兴化府在福州南面，今属莆田市。在旧社会，福州人与 兴化人因方言隔阂，互相缺乏好感。生意人占不到对方的便 宜，反归疚于对方吝啬、精明。
",,8f40753a-ae7f-4f51-a058-2bef99cf9065,,众生百相
福清哥，戴斗笠，伓挃安侬挃。,"①福清哥：福州人谑称福清人。福清县位于福州南面， 历史上一直隶属于福州府，口音与福州不同，民风鲁直彪 悍。②戴斗笠：旧日福清人出门，无论晴雨总戴着富有特色 的尖顶小斗笠。③伓桎安侬桎：〔人家）不想要，他强迫人家接受。桎：〈方言俗字〉要，接受。安〈音〉：强迫。侬: 人，别人。
",,,6eec0c8a-36f6-45fe-a60e-0925703c1276,,众生百相
扛棺材，张式款。,"①扛：抬。②张式款：装腔作势。
",旧日出殡，抬棺材的总是一路“嘿吻、嘿为”地叫，以 显示棺木厚实，陪葬品多。丧家也乐意为此多予“花彩” (小费乂,,b1c695ce-f283-4097-8dc0-eae92f87b708,,众生百相
十隻尼姑，九隻病囝。,①隻：量词；个。②病囝：早孕反应的症状，此处指怀 孕。,世俗向来有很多揶揄和尚、尼姑不守清规戒律的说法， 这可能反映了僧俗之间的隔阂，也可能是说明了真出于信 仰原因而出家的人不多。,,a783468b-73e3-4643-bebb-b01ff65cce02,,众生百相
和尚食十方。,食十方：到处化缘，吃百家饭。,,,76e813d3-23d3-427e-ae98-ef75272af6ac,,众生百相
看命先生半墿死，地理先生无对埋。,"①半埠死：横死途中。②地理先生：看风水的迷信职业 者。③无对：无处，“对”写同音字。
","抄录一首打油诗为证：风水先生真会哄，指南指北指 西东，此处若是真龙穴，何不当年笄乃翁。”
",,6e263fba-55d1-4de0-992f-ef69e951606e,,众生百相
看命嘴，犬放屁。,"看命嘴：算命先生的嘴，借代指算命者的胡言乱语。 
",除】认识这一条“绝对真理”本不需要多大的智慧，但至少 在目前，算命先生仍衣食无虞。,,75a2d181-1b2f-48ee-9ae9-b995881eacd1,,众生百相
神妈神妈，半真半假。,神妈：巫婆。,"巫婆的本屑是利用人们的迷信心理诈蹁钱财，凭着职业 本能和对人情世态的熟悉，往往也能对求神者的经历、状况

猜对几分。
",,c8dfaee9-40fb-4564-8f07-6eae9ba1b2e7,,众生百相
城裡灯笼乡下骨。,"灯笼体现着都市的气派，灯笼的骨架却都来自穷乡僻 壤。城里的体面人物原来也多是来自乡村。
","灯笼体现着都市的气派，灯笼的骨架却都来自穷乡僻 壤。城里的体面人物原来也多是来自乡村。
",,92af622c-c90b-477c-b781-65ab527b886b,,众生百相
颂𠲥长衫偷尿壶。,颂𠲥：穿着。𠲥：时态助词；着。 ,衣冠楚楚的人难保不会偷鸡摸狗。,,06c2ed9e-4541-44d8-88cf-c5cd75828aaa,,众生百相
面囝白澈澈，呆事做固搭。,①面囝：脸蛋。②白澈澈：白白净净。③呆事：坏事。 固搭：更甚。固：更。搭：到顶，到家。,,,3a96d9f9-a6f3-48af-9f1b-93c6ca9a5d10,,众生百相
长衫重马褂，尿壶无对挂。,①长衫重马褂：穿长衫套马褂，指穿着像个有钱人。 ②无对:无处。“对”写同音字。,"有痤人衣着考究，其实贫无立锥之地。
",,ef6beaac-6036-4fcc-9699-ced1a62a3ec6,,众生百相
肖蛇多心事。,"①肖：〈生肖）属。②多心事：多疑。
",,,6dde9085-7f36-44b6-a652-5c2fe3691c2a,,众生百相
好呆侬，相带累。,"①好呆侬：好人坏人。呆:坏。②相：外表长相。⑧带 累：连累。
","初次见面，人们总难免“由表及里”地凭外珑判断人品。
",,e6073a4f-20a6-4bdf-96fd-2b4ad9f71e73,,众生百相
十矮九作疾。,"作疾：不安分。
","矮身材者往往能比一般人付出更大的努力以获得社会 的承认，赢得自尊，心理学上称为“补偿规律”。
",,f6795b93-aec1-42e9-862f-125609a85295,,众生百相
七疤八扭做夫人。,①七疤八扭：形容貌丑。②夫人：贵妇人。,"“自古红颜多薄命”，而“七疤八扭做夫人”，如果姑娘 可以自由选择，愿做“夫人”者恐怕不多。
",,530d3dcb-8190-4f80-8169-325941f1df38,,众生百相
上身长，坐𠲥噇；下身长，做忙忙。,"①坐𠲥：坐着。②噇：吃（贬义③做忙忙：劳作繁 忙。
",桉身长的比例来算命，其实只是一句玩笑话。,,29735f36-81d9-42ad-90c0-f10795a307f8,,众生百相
男形母相，伓死破相。,①男形母相：身为男人却有女性化的神态举止。②伓死 破相：不死也要残废。破相：残废。,与其说是“相术”，不如说是咒骂。如《日出》中的胡四爷那样的人物，心理正常的人看了都觉得不舒服。,,7972878b-54c2-47bb-999f-acd3f69d4346,,众生百相
骹肚像竹筒，伓死也害侬。,"①骹肚：小腿肚。②伓……也……：若不……则要……。 ③侬：人，别人。
","小腿如竹茼者大约是“豆芽菜”体螌的瘦高个儿，现在 非常时免，“超级名模”更是非此类莫属。不知吾乡先辈何 以深恶而痛绝之。
",,bda5a558-c469-4a6c-a6f6-2ad774dbb09b,,众生百相
麻麻其骚，乌乌其娇。,①麻麻其：麻麻的，指麻脸。②骚：俗写同音的“超” 字。③乌乌其：黑黑的。,"东施遭人嘲笑不是因为扰丑，而是因为效颦。
",,de92fac6-e314-41f9-b580-3fe4c5533576,,众生百相
面髀无肉，不可相熟。,"①面髀：脸颊。②相熟：相交往。
",传统文化心理认为尖嘴猴腮者多作。,,9b50b3ef-6758-466e-ac92-f38058c5bbaf,,众生百相
十隻掌指都有长短。,"①掌指：手指头。②有长短：有长有短。“短”写同义

字。
",,,2a2e0df9-d1ff-477f-a732-579c95748148,,谐喻事理
讨亲长长阵，拜堂俪两奇。,①讨亲：娶亲。②长长阵：队伍很长。③偭：〈借用 字〉只，仅。④两奇：两个（人〉。,"凑热闹的人多，真正办事的只是个别人。
",,67591530-3076-4d4e-9243-6abf190199d4,,谐喻事理
头回养猪母，半冥去担潘。,①头回：初次。②猪母：母猪。③半冥：半夜。④担潘: 挑猪食。潘：潲水。《广韵》：“潘，浙米汁也，普官切。”,"初做某事，积极性往往特别高。
",,c1446da5-c836-46f1-8933-ae6c0227e84d,,谐喻事理
破钵逗汝玻璃缸。,"①逗：向‘…”挑衅。②汝：你。
","玻瑞釭忍气呑声，因为这样的决斗输不起，赢了也没啥 意思。
",,222dd335-f4a5-4e94-a63a-6fe80e894c27,,谐喻事理
有葱也办酒，无葱也办酒。,办酒：置办酒席。,次要因素不影响大局。,,f6034b92-4309-45d8-8fa7-7abdf03ded0a,,谐喻事理
拉尿也着看风势。,①着：要，必须。②风势：风向，引申指具体的客观情 况、外部条件。,"做任何事情都要根据当时具体情况采取适当的方法。
",,53418d9e-0c16-49d5-a2f3-582eee6c0b9d,,谐喻事理
开饭店固惊大食饭？,①固：〔难道）还怕。②大食饭：指饭量大的顾客。,,,b6a719b4-585e-45dd-80e9-7208e20fadc4,,谐喻事理
坎爿也中垫桌骹。,①坎另：碎瓦片。②桌骹：桌腿。,"任何东西都有用，主要看用得是不是地方。
",,99e0a189-6022-46c8-a410-75f6846643ed,,谐喻事理
做媒侬无能嗨包生囝。,"①媒侬：媒人。②无能嗨：不能，办不到。③生囝：生 儿子。
",无法对不可知的结果承诺。,,b05b5603-bffe-4925-ab92-b09b8377f888,,谐喻事理
井水罔绱罔出泉。,①罔……罔……：一边……一边……。②绱：〈用吊 桶）吊（水〉。③泉：指涌入井中的清水；“泉”的读音特殊， 可能不是本字。,,,c7350fb4-d476-4dff-aa84-80a8230b0840,,谐喻事理
三年食长斋，蜀条虾米须开荤。,"①食长斋：长年奉佛吃素。②蜀条：一根。③须：触须; 俗写同音字“秋”。
","往往一念之差，会致了长期努力的结果。
",,1bef9f0b-e3f3-4490-bb6d-4400544d1f43,,谐喻事理
江中再大，有日船头会相碰。,"①再大：无论有多大。②有日：总有一天。
",冤家路窄。,,7240ba72-6076-41ac-9699-86f3f0872864,,谐喻事理
细倪碰着沙。,"细倪：爱计较、爱挑剔（的人〉。②沙：指米饭中的

沙子。
","爱挑剔的人偏偏常遘到不順心的事。
",,86ce5a64-6b87-4887-b7de-ee8a748b6ca0,,谐喻事理
